campaign_id,total_min_watched,impressions,clicks,VOD,Live_TV,Classics,Comedy,Other,Reality,News and Information,Drama,Action & Adventure,Thriller,Sci-Fi & Fantasy,Horror,Western,Documentaries,Sports,Instructional & Educational,Home & Lifestyle,Romance,Anime,Musical,Independent,Entertainment,Paranormal,Music,Gay & Lesbian,Crime,Food & Cooking,Faith & Spirituality,Game Show,Dance,Children & Family,Telenovela,Talk Show,Variety Show,War,Young Adult,None,latitude,longitude,01,02,04,06,08,1,11,12,13,35,41,62,75,8,94,A,AB,AK,AL,AR,AZ,BC,BCN,BE,BG,BW,BY,CA,CHP,CMX,CO,CT,DC,DE,DJ,ENF,ENG,FL,GA,GE,HCW,HE,HI,IA,ID,IL,IN,KN,KS,KY,L,LA,M,MA,MAN,MD,ME,MI,MN,MO,MOR,MS,MT,NC,ND,NE,NH,NJ,NL,NM,NV,NW,NY,OH,OK,ON,OR,PA,PE,PM,QC,QUE,RG,RI,SC,SD,SN,SON,SP,SRY,TA,TAM,TN,TP,TV,TX,UT,VA,VD,VE,VT,WA,WI,WV,WY,Z,ZAC,ZH,num_devices,avg_time_watched_per_device,score
campaign_id_18,164790.0,58626.0,47794.0,0,0,624.0,1226.0,1109.0,570.0,608.0,568.0,3216.0,1314.0,1254.0,120.0,99.0,399.0,171.0,65.0,8.0,785.0,18.0,88.0,1127.0,71.0,26.0,99.0,1.0,23.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,75784.165647,-184024.786518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,13,36,0,0,0,0,0,0,197,0,0,26,18,14,8,0,0,0,173,81,0,0,0,4,13,3,84,50,0,14,24,0,48,0,36,0,54,2,55,17,39,0,25,3,87,3,6,6,62,0,7,23,0,142,94,19,0,18,98,0,0,0,0,0,7,34,1,0,0,0,0,0,0,49,0,0,183,14,68,0,0,0,30,23,8,0,0,0,0,2059,80.03399708596406,Excellent
campaign_id_19,851027.0,44060.0,6346.0,0,0,1861.0,6687.0,2276.0,1448.0,10500.0,2145.0,2072.0,850.0,1483.0,447.0,699.0,1710.0,713.0,297.0,79.0,1580.0,77.0,209.0,598.0,182.0,42.0,213.0,22.0,241.0,11.0,49.0,5.0,13.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,432824.677115,-1045305.142376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,148,85,235,0,0,0,0,0,0,1028,0,0,231,144,58,51,0,0,0,952,529,0,0,0,15,76,49,508,218,0,79,127,0,212,0,239,0,260,31,343,171,188,0,121,27,461,17,40,50,351,0,45,123,0,751,396,95,0,114,580,0,0,0,0,0,42,231,28,0,0,0,0,0,0,291,0,0,987,86,336,0,0,15,229,153,45,14,0,0,0,11643,73.09344670617538,Good
campaign_id_2,165828.0,10680.0,156.0,0,0,578.0,1439.0,541.0,398.0,605.0,603.0,1305.0,295.0,902.0,112.0,72.0,348.0,114.0,82.0,10.0,306.0,26.0,84.0,112.0,36.0,7.0,65.0,6.0,18.0,3.0,6.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,81511.162409,-200987.646665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,5,47,0,0,0,0,0,0,254,0,0,44,22,6,1,0,0,0,157,95,0,0,0,3,14,10,96,51,0,12,34,0,25,0,44,0,36,8,75,42,51,0,19,6,69,5,10,9,56,0,10,25,0,107,81,19,0,32,87,0,0,0,0,0,6,37,5,0,0,0,0,0,0,57,0,0,203,30,40,0,0,3,56,27,9,4,0,0,0,2175,76.24275862068966,Good
campaign_id_20,53776.0,3876.0,165.0,0,0,359.0,573.0,203.0,124.0,255.0,274.0,394.0,80.0,238.0,42.0,16.0,154.0,64.0,34.0,6.0,120.0,14.0,47.0,65.0,20.0,5.0,27.0,0.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28896.450126,-71612.750513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,12,0,0,0,0,0,0,96,0,0,16,5,1,2,0,0,0,48,19,0,0,0,4,6,9,40,17,0,2,10,0,12,0,11,0,25,2,16,10,14,0,4,3,21,1,5,2,23,0,5,7,0,46,24,16,0,9,27,0,0,0,0,0,4,17,1,0,0,0,0,0,0,22,0,0,69,10,20,0,0,2,19,11,2,0,0,0,0,770,69.83896103896105,Good
campaign_id_21,32530.0,2151.0,17.0,0,0,140.0,305.0,126.0,105.0,130.0,153.0,232.0,55.0,141.0,28.0,2.0,95.0,30.0,7.0,18.0,70.0,11.0,24.0,27.0,7.0,0.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.164524,-39857.660367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,0,0,0,0,0,0,52,0,0,7,3,1,3,0,0,0,34,24,0,0,0,1,4,1,18,7,0,6,6,0,5,0,7,0,12,1,10,6,6,0,6,2,13,0,1,2,13,0,1,6,0,19,17,6,0,4,20,0,0,0,0,0,1,8,1,0,0,0,0,0,0,11,0,0,33,5,16,0,0,1,8,8,2,1,0,0,0,438,74.26940639269407,Good
campaign_id_22,29295.0,320.0,140.0,0,0,89.0,114.0,54.0,46.0,29.0,92.0,300.0,131.0,124.0,19.0,18.0,31.0,8.0,3.0,1.0,31.0,0.0,10.0,13.0,11.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12198.8234,-30561.312208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,6,0,0,0,0,0,0,49,0,0,7,7,1,3,0,0,0,28,16,0,0,0,1,1,2,15,9,0,1,4,0,7,0,3,0,7,0,4,3,6,0,2,2,11,0,1,0,5,0,0,2,0,18,13,1,0,1,12,0,0,0,0,0,2,11,0,0,0,0,0,0,0,7,0,0,32,1,11,0,0,0,4,6,1,0,0,0,0,335,87.44776119402985,Excellent
campaign_id_23,7628.0,604.0,0.0,0,0,33.0,60.0,36.0,34.0,31.0,37.0,75.0,12.0,36.0,0.0,26.0,16.0,7.0,1.0,0.0,27.0,2.0,5.0,6.0,0.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4898.23626,-11560.060787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,11,3,0,0,0,1,2,0,5,2,0,2,2,0,0,0,1,0,4,2,1,3,2,0,2,1,7,1,1,0,8,0,0,1,0,5,4,3,0,1,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,6,1,7,0,0,1,2,3,2,1,0,0,0,130,58.676923076923075,Fair
campaign_id_24,53424.0,4232.0,123.0,0,0,313.0,731.0,177.0,110.0,229.0,236.0,365.0,100.0,214.0,47.0,45.0,147.0,73.0,47.0,0.0,173.0,0.0,22.0,42.0,21.0,9.0,14.0,10.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28044.450625,-67769.959017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,21,0,0,0,0,0,0,76,0,0,16,10,0,4,0,0,0,58,30,0,0,0,1,3,2,34,19,0,3,9,0,16,0,18,0,16,1,16,5,18,0,9,1,24,2,2,2,24,0,4,3,0,48,28,9,0,9,42,0,0,0,0,0,4,14,1,0,0,0,0,0,0,29,0,0,48,3,21,0,0,0,18,11,2,0,0,0,0,748,71.42245989304813,Good
campaign_id_25,8427.0,233.0,0.0,0,0,48.0,68.0,29.0,10.0,30.0,23.0,28.0,8.0,7.0,2.0,2.0,8.0,14.0,9.0,0.0,13.0,0.0,1.0,8.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3741.291791,-9253.131453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,11,0,0,2,1,1,0,0,0,0,7,3,0,0,0,0,2,1,5,1,0,0,0,0,1,0,0,0,4,1,1,2,1,0,1,0,4,0,1,0,0,0,0,2,0,6,5,1,0,2,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,2,5,0,0,0,2,1,0,0,0,0,0,102,82.61764705882354,Excellent
campaign_id_26,20223.0,1117.0,0.0,0,0,101.0,135.0,76.0,34.0,127.0,137.0,119.0,28.0,68.0,31.0,15.0,22.0,2.0,6.0,0.0,9.0,1.0,0.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10250.787045,-24804.496808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0,0,0,0,0,0,29,0,0,3,2,2,3,0,0,0,16,12,0,0,0,2,2,0,8,5,0,2,2,0,7,0,7,0,8,1,10,5,5,0,1,1,5,0,1,0,7,0,0,4,0,22,9,2,0,1,21,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,24,3,10,0,0,0,8,1,1,0,0,0,0,274,73.80656934306569,Good
